address,exclusion_reason,sources
0x771a428b865a3984085ed49a0ca550dd222bb60b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv;sources/stake-cat-gnosischain-solo-stakers.csv
0xf0afb76e27248df8f9a0e00d05679c2142ba89db,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xd41fb19bafc0949cfdd8c25675ec4098fef41cb0,sources/exclude/pro-node-operators.csv;sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x5b3a7fe34a66857b7adc92cd26da53a4862e3613,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x9f6b7f6a018955ae8a98c4f0e6d45f2b3c1d70c4,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x72ebc90f0e3457a1ff6b000dc9b1aa152ee82974,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xda752a97a4972a0fb6b977d75759343096fabb5d,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xde4e7702857b2e3a35fcf1d9a13b444c3ae10672,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x98377bee9e11d913b84b20348296139121756d9b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x1619fea9581f747afa42aaadfab55226482bad7a,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xf2f1d414ce0222b383bcc4130731be75cd4ed3b3,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x19460b640ea9d3cc0e545d6a86e3fd9ee08872c3,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x76ea331de44f1894fee0d7e260a1b062848b8878,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x56a64476be449952fb7cd5915c1ae08d188644c4,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xd114b0fc5bcd540cd8a6627705103fb530a4db16,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x7cb698e45d970fd01150f89e2f1706d4bf804246,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xca7c2de0c8c7a131ae091a302f057b810eb3fa49,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xccc01762f2a8168bad948518b6ab65302b23efbc,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x7f34a4912242635a043bf3424d0538c6aa5caa2b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x4f8f32bd0f6773c0ba59c326c88d0412c714dbb5,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x3eab5a7648db96a28e9d8ddf5356b1e600fb731d,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x4f9be993e7c24151405cb530426a6bbf26c803a0,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xd629cd5bb273ac1a43ec82b8b4e60aa1e91b954f,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xfe003428a2c67bfd3b51b6c8d9a0b28fdfd3b8bf,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv;sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xdda66164a8385625f3ad469b369a2382e1ec27e0,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x60aa666bcef5e9a3393c6b203690abc2ea76f06b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x3106c024b3e1d77ac8708befd003d230c9a51e31,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x4eeb252ea907a972688ec0bba7d68327e9869285,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x1cca90788b71bed74e565442bd81f6a7f5bbda0e,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xdc7ebcf821d4f518d07a17a61f5b1ac728caceb9,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x14b322a59ce3c3ad8343b035a3bfae09f73e8f3b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x2b0acf7a618cfa4b6704a4d814c8925690cdc04b,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x060a260e19f7fbd6fdc19028e5a8c90a3aedf980,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xea839fa4c85203d96d989623e335a4d8e86e9f66,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xf2a7ee6bbbf02b696b132184213abcc343df55c1,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x09d9ee63b46463a3f420fb92bf18f62a91bf5d5d,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x97435db5c546c83268cb57f2932e5fa343530e11,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xc66e54c24b7b78ae83219312eb70e8884fe5ab01,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0xb41ddb3f1f64b2c56acd1a83c6ce20ecd9ab82d0,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
0x157034735eff186f38aefa850bfc3cd04d7c8d8d,sources/exclude/pro-node-operators.csv,sources/obol-techne-credentials-silver.csv
