Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0xe2696A5d8f30358f30B0400Cb99D96761f6F97cC	100	0	0	97	0	3	100	
0x71dE15F095f2790D4d82f4886b465Fb020C9CFF8	100	0	0	100	0	0	100	
0xC40d61Ae90DE3414eB4345BfDeA8Bd2516FBC800	99	0	0	99	0	0	99	
0x20E2e54645Db6743210cE4f80c73faF20D763448	98	0	0	53	1	44	98	
0x6F71Ce1aa98B1Dff7cc1959d130c85C52ba05A11	97	0	0	97	0	0	97	
0xcF28289559d1eC3D9DcE60aF46B21d6f4aEAd719	96	0	0	96	0	0	96	
0x420AE7560821A43826a2ead522Ac3fa819Ce9299	96	0	0	0	0	96	96	
0xDBa9730EF973e3e953bCF138D3E3facf2a51a8c1	93	0	0	93	0	0	93	
0xd1bDA97512edd194d59EBC138722ce8E25db9998	93	0	0	0	0	93	93	
0xA810c5E03AF66dD15FA647E206fAA0D4fFf74856	92	0	0	0	0	92	92	
0x163A398F4Bc9aAcF95cE0cCC4EC07Ee18804af1A	92	0	0	92	0	0	92	
0x52C5873D145521D8547c84694412F0698172F787	92	0	0	0	0	92	92	
0x1c0AcCc24e1549125b5b3c14D999D3a496Afbdb1	91	0	0	90	0	1	91	
0x22DBA7C91f0127b79a85f64cd0a41a7684e295bf	90	0	0	90	0	0	90	
0xf389dD1F828525b449D63D14157f2d3A25eE0a41	90	0	0	90	0	0	90	
0x030539E7a6742690f7E2257C98072ab31Be60411	90	0	0	87	0	3	90	
0xb1D45023F6Cf01042Cd32d183112ecca1070da94	88	0	0	88	0	0	88	
0x9a517B5d1fEa6e42D50e711Fa212fa8121c1F939	88	0	0	88	0	0	88	
0xe34e2Df841E5a6352B0aE8Bd5A797544f11D7e89	86	0	0	86	0	0	86	
0x3B4DaA9fbd96445fAfF116164Ff634C976f3aD58	85	0	0	0	0	85	85	
0x1E430A6d633B4A71a38DFa5fAE0950b566534566	85	0	0	81	0	4	85	
0xD99e7C6490b27eBc155E2025eA27f77029b6Ed15	84	0	0	0	0	84	84	
0xcF87C7DfB05E943Ba38f41f1F8a839015a1e26ef	84	0	0	84	0	0	84	
0xf9Baf17ca02413FC03b9bb1C782F61a7111a9C7E	83	0	0	82	1	0	83	
0x03d86D93EaFf92bB129f9F26fb7c7388F4b83C06	82	0	0	82	0	0	82	
0xd6fd0eC4B9674a4173a43aDD3149D8a853b3C146	81	0	0	81	0	0	81	
0xd4C494f48ca8E5d342e6D3180c19A5aC71071cf3	80	0	0	80	0	0	80	
0x0BccC707db5DfF937316833Af020AdCa75932E27	80	0	0	80	0	0	80	
0x127685D6dD6683085Da4B6a041eFcef1681E5C9C	77	0	0	77	0	0	77	
0x556fA194Be0137F3B52223253e9492c3758B70Ff	77	0	0	77	0	0	77	
0xC53B2833348c889C174e9f028C2eD22a3702ADD2	77	0	0	77	0	0	77	
0x4b3e650687fe68C8326B3c8D58697E2ab20e324a	75	0	0	2	0	73	75	
0xda0E454E03F3A064Ac1B89421dC786ac1B6970F5	75	0	0	3	0	72	75	
0xA6B2da683EcF06fAa014535A7eD946De2022F1c5	71	0	0	71	0	0	71	
0xc6Cda6a69DDc8200Da1140546dF8E830F5e7827E	71	0	0	70	0	0	70	
0x42F0E3DA18C2181e57407a56648ffE98c2E82917	71	0	0	0	0	71	71	
0xB9684CFB36A979e21008E7d8dCe367DF201e4642	70	0	0	70	0	0	70	
